"","DATE","GDP","cpi","bond_yield","int_Rate","unemply_claims","avg_hours_worked","housing_permits","population_perc_change","unemployment_rate","perc_ch_GDP"
"123",2017-10-01,18310.3,2.14444066666667,2.37,1.16967741935484,245596.153846154,-1.5,1314.66666666667,0.16853,4.16666666666667,1.00566
"124",2018-01-01,18437.127,2.21879133333333,2.76,1.31426229508197,218980.769230769,0.9,1352.66666666667,0.12186,4.03333333333333,0.69265
"125",2018-04-01,18565.697,2.53192233333333,2.92,1.1834375,215884.615384615,1.4,1353.66666666667,0.13248,3.93333333333333,0.69734
"126",2018-07-01,18699.748,2.47911433333333,2.92666666666667,1.00031746031746,223076.923076923,0.8,1304.66666666667,0.15646,3.76666666666667,0.72204
"127",2018-10-01,18733.741,2.447143,3.03333333333333,0.823770491803279,225903.846153846,-2.5,1300,0.14649,3.83333333333333,0.18178
"128",2019-01-01,18835.411,2.38208033333333,2.65333333333333,0.251639344262295,209326.923076923,-3.4,1293.66666666667,0.1052,3.86666666666667,0.54271
"129",2019-04-01,18962.175,2.414102,2.33333333333333,-0.0582539682539683,208653.846153846,0.5,1327.33333333333,0.11429,3.6,0.67301
"130",2019-07-01,19130.932,2.57262866666667,1.79666666666667,-0.39984375,226076.923076923,-2,1436.33333333333,0.14636,3.63333333333333,0.88997
"131",2019-10-01,19215.691,2.739722,1.79333333333333,0.141451612903226,229365.384615385,0.7,1485.33333333333,0.14493,3.6,0.44305
"132",2020-01-01,18989.877,2.74744066666667,1.37666666666667,0.132096774193548,417711.538461538,-3.6,1444.33333333333,0.09833,3.8,-1.17515
"133",2020-04-01,17378.712,2.127897,0.686666666666667,0.628730158730159,3020500,-14.5,1226,0.04776,12.9666666666667,-8.48434
"134",2020-07-01,18743.72,2.24536066666667,0.65,0.5578125,1115250,16.7,1562.33333333333,0.04492,8.83333333333333,7.85448
"135",2020-10-01,18924.262,1.77648933333333,0.863333333333333,0.775483870967742,797019.230769231,1.3,1670.33333333333,0.04139,6.76666666666667,0.96321
"136",2021-01-01,19216.224,1.57332966666667,1.31666666666667,1.25950819672131,774076.923076923,4.4,1786.33333333333,-0.00894,6.2,1.54279
"137",2021-04-01,19544.248,2.504185,1.59333333333333,1.52203125,518365.384615385,-3.6,1705.66666666667,0.02179,5.9,1.70702
"138",2021-07-01,19672.594,2.44280166666667,1.32333333333333,1.23453125,398480.769230769,0.9,1680.66666666667,0.08303,5.1,0.65669
"139",2021-10-01,20006.181,3.23834,1.53666666666667,1.45387096774194,284115.384615385,0.1,1774.33333333333,0.08637,4.23333333333333,1.69569
"140",2022-01-01,19924.088,4.27755331966667,1.94,1.82677419354839,207673.076923077,-0.4,1859,0.04961,3.8,-0.41034
"141",2022-04-01,19895.271,5.041692257,2.93,2.16709677419355,198846.153846154,-3.1,1738,0.0574,3.6,-0.14463
